B-V,Vmag
0.82,9.04
1.25,11.92
0.34,12.07
1.09,12.15
1.1,12.19
0.23,12.2
0.13,12.25
1.73,12.4
0.32,12.47
1.42,12.56
0.12,12.78
0.38,12.97
0.32,13.01
0.31,13.06
0.35,13.11
0.23,13.31
0.26,13.35
0.41,13.41
0.18,13.42
0.37,13.51
0.2,13.52
0.46,13.55
0.48,13.57
0.47,13.58
0.4,13.59
0.44,13.61
0.28,13.62
0.31,13.62
0.2,13.7
0.38,13.71
0.23,13.72
0.38,13.73
0.17,13.77
0.42,13.79
0.32,13.86
0.39,13.89
0.17,13.89
0.45,14.0
0.36,14.03
0.29,14.04
0.47,14.04
0.43,14.05
0.35,14.06
0.4,14.08
0.35,14.12
0.53,14.23
0.32,14.31
0.3,14.31
0.28,14.32
0.27,14.32
0.37,14.33
0.26,14.33
0.32,14.33
0.18,14.33
0.22,14.38
0.21,14.4
0.46,14.41
0.36,14.43
0.45,14.45
0.48,14.46
0.44,14.51
0.42,14.52
0.36,14.54
0.24,14.54
0.48,14.58
0.38,14.62
0.42,14.62
