B-V,Vmag
1.37,9.71
1.35,9.71
1.26,10.31
1.18,10.34
1.1,10.49
1.13,10.53
1.1,10.59
1.1,10.6
1.1,10.61
0.1,10.74
1.13,10.76
0.94,10.78
0.22,10.94
0.11,11.03
0.22,11.04
0.26,11.04
0.41,11.25
1.1,11.28
0.12,11.29
0.63,11.32
1.1,11.34
1.06,11.45
0.17,11.49
1.05,11.5
0.88,11.52
1.14,11.56
0.57,12.06
0.45,12.14
0.84,12.19
0.99,12.2
0.58,12.27
1.0,12.27
0.29,12.28
0.84,12.3
0.6,12.3
0.4,12.36
0.94,12.4
0.52,12.42
0.98,12.44
0.66,12.47
0.65,12.52
0.61,12.54
0.59,12.55
0.6,12.56
0.61,12.59
0.65,12.59
0.78,12.6
0.81,12.62
0.64,12.62
0.6,12.62
0.63,12.64
0.61,12.65
0.59,12.66
0.72,12.66
0.62,12.66
0.61,12.66
0.73,12.67
0.59,12.68
0.88,12.69
0.68,12.69
0.72,12.7
0.62,12.7
0.57,12.71
0.56,12.72
0.6,12.72
0.57,12.72
0.56,12.74
0.57,12.75
0.56,12.75
0.62,12.75
0.46,12.77
0.75,12.77
0.86,12.78
0.55,12.78
0.57,12.78
0.5,12.8
0.73,12.8
0.57,12.81
0.76,12.83
0.71,12.83
0.87,12.83
0.57,12.83
0.55,12.85
0.62,12.85
0.97,12.86
0.55,12.87
0.53,12.88
0.55,12.88
0.51,12.89
0.57,12.89
0.72,12.89
0.49,12.91
1.0,12.91
0.5,12.92
0.89,12.93
0.54,12.94
0.55,12.95
0.95,12.95
0.89,12.96
0.81,12.97
0.89,12.98
0.62,13.03
0.86,13.05
0.52,13.1
0.54,13.1
0.65,13.11
0.6,13.11
0.52,13.11
0.61,13.12
0.64,13.12
0.57,13.13
0.6,13.16
0.61,13.17
0.54,13.17
0.6,13.18
0.58,13.2
0.59,13.21
0.62,13.24
0.6,13.24
0.55,13.25
0.52,13.26
0.59,13.26
0.6,13.27
0.49,13.27
0.57,13.28
0.61,13.3
0.55,13.3
0.62,13.31
0.58,13.31
0.58,13.32
0.62,13.32
0.59,13.33
0.56,13.34
0.8,13.34
0.55,13.35
0.58,13.36
0.51,13.38
0.63,13.39
0.53,13.41
0.61,13.41
0.55,13.41
0.56,13.41
0.56,13.42
0.61,13.43
0.58,13.44
0.66,13.44
0.55,13.45
0.5,13.46
0.53,13.47
0.55,13.47
0.51,13.47
0.52,13.49
0.56,13.49
0.47,13.5
0.57,13.5
0.49,13.5
1.07,13.52
0.53,13.53
0.51,13.54
0.67,13.54
0.6,13.54
0.55,13.55
0.54,13.57
0.47,13.58
0.53,13.59
0.51,13.6
0.57,13.61
0.61,13.62
0.6,13.62
0.56,13.62
0.52,13.65
0.59,13.65
0.6,13.66
0.58,13.67
0.49,13.68
0.62,13.69
0.6,13.69
0.56,13.7
0.55,13.71
0.47,13.71
0.53,13.72
0.59,13.74
0.63,13.75
0.54,13.76
0.58,13.76
0.51,13.77
0.56,13.78
0.52,13.8
0.56,13.8
0.49,13.81
0.64,13.81
0.58,13.83
0.57,13.84
0.53,13.84
0.59,13.86
0.58,13.86
0.61,13.87
0.54,13.88
0.56,13.89
0.53,13.9
0.62,13.91
0.58,13.94
0.67,13.96
0.63,13.96
0.59,13.97
0.61,13.98
0.51,13.98
0.55,13.99
0.59,14.01
0.75,14.02
0.62,14.04
0.6,14.04
0.61,14.05
0.64,14.05
0.54,14.06
0.65,14.07
0.53,14.07
0.59,14.08
0.6,14.08
0.64,14.1
0.66,14.12
0.62,14.12
0.65,14.12
0.63,14.14
0.5,14.14
0.62,14.14
0.59,14.15
0.72,14.15
0.72,14.16
0.61,14.16
0.62,14.17
0.58,14.17
0.57,14.18
0.5,14.18
0.58,14.19
0.54,14.19
0.67,14.19
0.57,14.2
0.6,14.2
0.51,14.2
0.64,14.2
0.54,14.21
0.68,14.22
0.77,14.22
0.61,14.22
0.81,14.24
0.62,14.25
0.6,14.26
0.59,14.27
0.65,14.3
0.86,14.3
0.79,14.33
0.64,14.34
0.63,14.35
0.67,14.37
0.73,14.38
0.7,14.39
0.72,14.4
0.64,14.4
0.72,14.43
0.7,14.44
0.72,14.48
0.63,14.49
0.71,14.5
0.88,14.5
0.69,14.51
0.68,14.51
0.74,14.54
0.66,14.54
0.68,14.55
0.82,14.56
0.73,14.56
0.59,14.56
0.74,14.56
0.68,14.57
1.02,14.57
0.9,14.57
0.78,14.58
0.8,14.6
0.84,14.6
0.76,14.6
0.69,14.6
0.91,14.61
0.74,14.61
0.71,14.62
0.62,14.63
0.63,14.63
0.71,14.64
0.69,14.65
0.7,14.65
0.9,14.65
0.85,14.65
0.75,14.67
0.89,14.7
0.72,14.7
0.63,14.71
0.85,14.72
0.79,14.74
0.82,14.76
0.76,14.77
0.82,14.78
0.83,14.81
0.79,14.81
0.85,14.83
0.7,14.86
0.72,14.86
0.78,14.87
0.82,14.88
0.68,14.88
0.85,14.9
0.86,14.9
0.79,14.9
0.77,14.91
0.78,14.91
0.74,14.91
1.07,14.93
1.02,14.93
0.75,14.93
0.9,14.94
0.69,14.95
1.02,14.96
0.92,14.96
0.81,14.98
0.74,14.98
0.8,15.0
0.82,15.0
0.8,15.01
0.84,15.04
0.96,15.05
0.83,15.06
0.76,15.08
0.83,15.1
0.8,15.12
0.83,15.15
0.92,15.16
1.07,15.17
0.91,15.2
0.91,15.22
0.88,15.27
0.89,15.31
0.9,15.33
0.81,15.34
0.82,15.34
0.91,15.34
0.9,15.34
0.81,15.36
0.9,15.37
0.67,15.39
0.68,15.42
0.88,15.42
0.96,15.47
0.94,15.53
0.26,15.54
0.88,15.54
0.89,15.55
0.89,15.58
0.85,15.63
0.37,15.65
